Nome: CACAPAVA DO SUL
Codigo Estacao: A812
Latitude: -30.54527777
Longitude: -53.46694443
Altitude: 420.82
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;13;236,6;963,5;22,2;10,7;3,8;
2010-02-28;15;216,8;963,7;23,1;9;3,8;
2010-03-31;9;51;965;21,3;9,6;3,7;
2010-04-30;11;96,2;968,7;17,8;9,3;3,6;
2010-05-31;20;164;969;14,6;10,3;4;
2010-06-30;13;132,2;970,3;12,5;12,5;4,2;
2010-07-31;15;271,2;969,8;11,5;11,4;4,5;
2010-08-31;7;null;null;10;11,3;null;
2010-09-30;10;null;966,3;14,6;15;4,5;
2010-10-31;8;46;966,7;15,7;14;3,9;
2010-11-30;9;64,6;963,7;18,4;9,3;3,8;
2010-12-31;6;146,2;961,7;21,5;8,8;4,5;
2011-01-31;18;187,2;962;23,2;17,6;3,6;
2011-02-28;11;215,8;964,3;22;8,7;4;
2011-03-31;10;81,4;966,2;20;8,5;4,2;
2011-04-30;12;226,2;966,6;18,1;9;3,4;
2011-05-31;16;38;969,8;14;11,3;4;
2011-06-30;3;null;null;11,4;10,1;null;
2011-07-31;17;219,2;968,6;11,2;11,5;4;
2011-08-31;21;159,6;967,5;11,9;12,6;5,1;
2011-09-30;6;64,4;969,9;14,4;10,4;4,4;
2011-10-31;12;173,8;965;16,4;11,7;4,1;
2011-11-30;3;null;965,3;19,7;11,2;4,1;
2011-12-31;11;28;963,3;20,1;13;4;
2012-01-31;4;91,8;963,9;22,6;9,2;4,2;
2012-02-29;8;null;null;23,9;10;null;
2012-03-31;7;69,4;966,1;21,2;9,7;3,2;
2012-04-30;null;null;966,7;17,2;9,2;3,3;
2012-05-31;8;29,6;969,7;16,5;7,4;3,4;
2012-06-30;9;15;968,6;12,7;10,8;3,7;
2012-07-31;8;96,6;969,5;10,5;9,5;4,1;
2012-08-31;13;127;970,7;16,6;9,7;4,4;
2012-09-30;11;220;969;15,1;14,6;4,8;
2012-10-31;15;231,8;964,3;17,9;15,8;4,5;
2012-11-30;7;52,6;964,8;20,8;7,7;3,9;
2012-12-31;15;230,2;961,6;22,7;14,7;3,8;
2013-01-31;9;93,8;965,5;21,1;12,5;3,8;
2013-02-28;13;70,6;964,1;21,7;8,3;3,8;
2013-03-31;10;96,8;966,5;18,7;9,2;3,7;
2013-04-30;8;154,6;967,6;17,9;9,3;3,7;
2013-05-31;13;null;968,9;13,9;9,6;3,3;
2013-06-30;12;80,8;968,4;12,3;11,2;3,6;
2013-07-31;12;53,2;970,6;11,8;8,8;3,8;
2013-08-31;17;145,8;970,1;11;10,4;4;
2013-09-30;14;77,6;967,8;15;10,3;4;
2013-10-31;13;189,4;967;16,5;9,4;4;
2013-11-30;11;193;964;19,4;10,4;4,6;
2013-12-31;6;26,4;962,4;23,1;13,1;3,8;
2014-01-31;17;219,4;964,2;23,7;16,9;3,7;
2014-02-28;14;293;965;22,9;10,2;4,1;
2014-03-31;10;222;965,7;19,8;12,6;3,7;
2014-04-30;8;58,2;968,4;17,7;12;4;
2014-05-31;9;null;null;12,8;10,7;null;
2014-06-30;17;219,2;968,4;12,4;10,7;4,4;
2014-07-31;15;296,6;970,9;12,8;9,9;4,3;
2014-08-31;13;96,8;969,1;14,1;12,6;4;
2014-09-30;16;209;966,2;15,5;11,2;4,7;
2014-10-31;4;null;null;null;10,6;null;
2014-11-30;6;null;964,6;20,6;11,7;3,6;
2014-12-31;13;176,8;963,8;21,1;15,4;3,9;
2015-01-31;16;156,4;965,3;22,2;10,9;3,4;
2015-02-28;7;102,2;965;21,9;10,1;3,4;
2015-03-31;13;79,4;966,5;20,9;7,4;3,3;
2015-04-30;6;62,8;968,3;18,6;8,1;2,9;
2015-05-31;12;220,4;969,5;15,3;10,4;3,5;
2015-06-30;12;126,8;970;13,4;9,8;3,6;
2015-07-31;18;219,6;969;12,8;8;3,6;
2015-08-31;11;118,4;966,9;17,1;10,6;4,4;
2015-09-30;12;93,8;965,8;14,2;10,6;3,9;
2015-10-31;15;232,8;966,6;15,5;18,7;4,4;
2015-11-30;17;180,8;964,3;17,7;12,1;4,2;
2015-12-31;20;419,8;963,5;20,7;14,3;3,6;
2016-01-31;10;78,2;964,2;22,8;8,4;3,6;
2016-02-29;11;134,4;964,5;23,1;10,8;3,3;
2016-03-31;18;216,4;967,3;19,3;10,6;3,6;
2016-04-30;20;259,8;966;18,9;9,7;3,7;
2016-05-31;14;81,6;970,7;12,1;8,9;3,4;
2016-06-30;9;48,8;972,6;10,1;9;3,3;
2016-07-31;16;178,8;968,9;11,5;12,6;4,1;
2016-08-31;9;80;968,9;14,1;10,3;3,6;
2016-09-30;8;63,8;969,6;13,3;12,7;4,2;
2016-10-31;11;224,6;965,8;16,6;11,8;4,4;
2016-11-30;13;273;965,5;18,9;11,9;3,8;
2016-12-31;13;152,2;963,2;21,8;9,2;3,9;
2017-01-31;17;139,8;964,2;22,3;10,2;3,7;
2017-02-28;17;null;964;22,8;9,4;3,3;
2017-03-31;18;256,4;966,7;20,2;11,8;3,9;
2017-04-30;11;104,4;967,5;17,4;11,9;4,1;
2017-05-31;21;286;967,8;15,2;9;4;
2017-06-30;15;120,2;968,8;13,6;10,3;4,1;
2017-07-31;10;26;973,3;14,8;9,5;4;
2017-08-31;16;236,4;967,9;15;15,4;4,6;
2017-09-30;14;null;968,8;17,4;9,9;4,4;
2017-10-31;16;243,8;964,4;16,7;11,7;4,4;
2017-11-30;6;94,4;964,1;18,6;10,2;4;
2017-12-31;7;23,2;963,2;22,3;10;3,9;
2018-01-31;13;66,8;963,6;22,8;10;4,1;
2018-02-28;8;42,6;965,1;21,8;10,2;3,5;
2018-03-31;9;148,6;964,2;20,6;9,6;3,6;
2018-04-30;15;118;968,4;20,8;9;3,4;
2018-05-31;15;65,8;969,2;15,3;9;3,8;
2018-06-30;14;145;969,8;10,6;8,6;3,6;
2018-07-31;21;219;969,7;11,3;9,4;4,2;
2018-08-31;14;173,8;970,3;11,4;10,8;4,3;
2018-09-30;18;338,6;966,6;16,3;10,5;4,3;
2018-10-31;13;101,6;966,4;16,8;8,4;4,1;
2018-11-30;9;140,8;964,8;20,3;9,1;4,1;
2018-12-31;13;190,8;964,5;21,2;10,4;3,9;
2019-01-31;18;286;964,8;23,2;9,1;3,8;
2019-02-28;11;83,6;965,1;21,9;7,3;3,4;
2019-03-31;9;95,8;967,3;20;8;3,6;
2019-04-30;5;null;null;null;null;null;
2019-05-31;19;254;968;15,8;7,4;3,8;
2019-06-30;11;66,2;969;16,1;9,6;3,9;
2019-07-31;16;268,4;970,1;11,4;9,7;3,8;
2019-08-31;8;113;971,8;12,6;9,5;4,2;
2019-09-30;8;97,4;968,3;14,4;10,1;3,9;
2019-10-31;18;455,8;966,2;17,9;11,7;4,4;
2019-11-30;8;69;964,6;20,1;8,8;3,9;
2019-12-31;7;70,4;963,7;22,5;9,3;3,6;
2020-01-31;10;190,6;963,6;22,6;11,1;3,7;
2020-02-29;5;31;965,7;22;8,6;3,7;
